epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6231,1.48268,2.53969,1.37522,0.73458,0.4324,0.5676,0.30008,1.46039,1.87443,1.2809,0.000472003,0.000472003,0.000472003
2,48.7832,1.27155,1.45518,1.24998,0.78454,0.57483,0.6732,0.4014,1.25504,1.33969,1.19924,0.000938948,0.000938948,0.000938948
3,69.4808,1.24099,1.18371,1.25004,0.7334,0.65331,0.70603,0.44809,1.1377,1.05563,1.15464,0.00139646,0.00139646,0.00139646
