epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4185.61,0.06904,2.18371,0.89234,0.78207,0.85381,0.89736,0.89736,0.07908,0.58669,0.38543,0.007228,0.007228,0.007228
44,4284.84,0.06809,2.16831,0.89273,0.76761,0.86047,0.90034,0.90034,0.08882,0.57532,0.40122,0.007162,0.007162,0.007162
45,4375.35,0.06798,2.1504,0.89221,0.77347,0.86535,0.9022,0.902,0.08894,0.54817,0.3943,0.007096,0.007096,0.007096
46,4460.89,0.06772,2.15441,0.89243,0.79937,0.85053,0.90523,0.90523,0.10611,0.54803,0.40473,0.00703,0.00703,0.00703
47,4547.39,0.06604,2.16297,0.89428,0.78493,0.87306,0.90894,0.90879,0.08149,0.52846,0.39059,0.006964,0.006964,0.006964
48,4647.1,0.0649,2.13309,0.88859,0.80605,0.86298,0.91081,0.9105,0.09485,0.52016,0.39947,0.006898,0.006898,0.006898
49,4748.27,0.0644,2.1246,0.88937,0.81554,0.86429,0.90741,0.90703,0.07468,0.49639,0.38126,0.006832,0.006832,0.006832
50,4849.45,0.06678,2.0972,0.89182,0.80599,0.87319,0.91202,0.91202,0.07926,0.49792,0.38737,0.006766,0.006766,0.006766
51,4950.94,0.06534,2.10756,0.89118,0.80383,0.88349,0.91237,0.91211,0.08308,0.49077,0.38961,0.0067,0.0067,0.0067
52,5050.73,0.06669,2.08834,0.89065,0.83997,0.84849,0.91645,0.91645,0.09426,0.47684,0.3952,0.006634,0.006634,0.006634
53,5147.89,0.06469,2.09033,0.89126,0.8076,0.89313,0.91962,0.91962,0.07561,0.46014,0.38103,0.006568,0.006568,0.006568
54,5248.64,0.06251,2.07484,0.89134,0.80894,0.89739,0.92227,0.92223,0.07575,0.44283,0.38093,0.006502,0.006502,0.006502
55,5349.66,0.06124,2.06312,0.89082,0.84836,0.87266,0.92527,0.92496,0.0753,0.44236,0.38041,0.006436,0.006436,0.006436
56,5450.87,0.06179,2.05601,0.88989,0.82745,0.89129,0.92452,0.92428,0.07598,0.42539,0.38411,0.00637,0.00637,0.00637
57,5552.24,0.0619,2.05472,0.89055,0.82459,0.89527,0.92842,0.92832,0.08447,0.4348,0.38962,0.006304,0.006304,0.006304
58,5653.52,0.06057,2.0296,0.88902,0.82046,0.89221,0.92497,0.92471,0.08857,0.42332,0.38775,0.006238,0.006238,0.006238
59,5743.94,0.06475,2.05963,0.88964,0.85148,0.88704,0.93088,0.93075,0.08037,0.40619,0.38163,0.006172,0.006172,0.006172
60,5830.91,0.05741,2.02703,0.88741,0.85492,0.87626,0.92775,0.92773,0.07112,0.40499,0.37697,0.006106,0.006106,0.006106
61,5916.91,0.05998,2.02898,0.88953,0.85148,0.88257,0.92695,0.92684,0.0762,0.40518,0.38533,0.00604,0.00604,0.00604
62,6009.28,0.06015,2.0112,0.88763,0.80418,0.91654,0.92772,0.92772,0.07571,0.39101,0.37939,0.005974,0.005974,0.005974
63,6095.54,0.05885,1.99948,0.89103,0.83737,0.89703,0.9286,0.92854,0.07094,0.38486,0.37638,0.005908,0.005908,0.005908
64,6181.36,0.05992,2.00971,0.88718,0.83228,0.90907,0.93401,0.93395,0.07375,0.37487,0.37643,0.005842,0.005842,0.005842
65,6275.32,0.05826,1.99626,0.88906,0.82518,0.91403,0.93435,0.93428,0.07804,0.3663,0.37811,0.005776,0.005776,0.005776
66,6377.35,0.05741,1.9819,0.88939,0.83827,0.91131,0.93707,0.93707,0.07649,0.36413,0.379,0.00571,0.00571,0.00571
67,6478.94,0.0565,1.98123,0.88826,0.83231,0.91389,0.93798,0.93794,0.07835,0.36638,0.38217,0.005644,0.005644,0.005644
68,6579.91,0.05786,1.98906,0.88868,0.83442,0.9145,0.93609,0.93605,0.0798,0.36619,0.3823,0.005578,0.005578,0.005578
69,6680.56,0.05627,1.96765,0.8899,0.84794,0.90729,0.93686,0.93686,0.07453,0.3613,0.37979,0.005512,0.005512,0.005512
70,6781.14,0.05702,1.97043,0.8874,0.84038,0.91768,0.93865,0.93865,0.07979,0.35982,0.38147,0.005446,0.005446,0.005446
71,6882.51,0.05446,1.96863,0.88878,0.84556,0.90955,0.93771,0.93771,0.07753,0.35571,0.37836,0.00538,0.00538,0.00538
72,6982.83,0.05494,1.97761,0.88905,0.82846,0.92039,0.93814,0.93814,0.07304,0.34821,0.37308,0.005314,0.005314,0.005314
73,7083.93,0.05404,1.96448,0.88799,0.86531,0.90496,0.9405,0.9405,0.07334,0.34329,0.37256,0.005248,0.005248,0.005248
74,7186.1,0.05494,1.95909,0.88909,0.86914,0.90271,0.94276,0.94276,0.07818,0.34057,0.37715,0.005182,0.005182,0.005182
