epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1851,1.09694,0.93944,1.16292,0.77269,0.74096,0.80355,0.51135,1.11538,0.82662,1.152,0.000472003,0.000472003,0.000472003
2,45.944,1.09396,0.89793,1.16403,0.84591,0.75439,0.80521,0.50169,1.11928,0.75114,1.13629,0.000938948,0.000938948,0.000938948
3,66.633,1.10383,0.88347,1.17163,0.77805,0.57221,0.67982,0.39171,1.32755,1.36076,1.30897,0.00139646,0.00139646,0.00139646
4,87.3295,1.13274,0.87795,1.18488,0.85203,0.73294,0.808,0.51349,1.12185,0.76725,1.15459,0.00138656,0.00138656,0.00138656
5,107.961,1.10522,0.83878,1.1765,0.82839,0.76259,0.81382,0.51967,1.03852,0.75178,1.12865,0.00137241,0.00137241,0.00137241
6,128.544,1.08526,0.83229,1.16713,0.85479,0.71227,0.79684,0.49014,1.08261,0.76377,1.15211,0.00135826,0.00135826,0.00135826
7,149.194,1.06781,0.80871,1.16203,0.86755,0.78067,0.84347,0.56064,0.96308,0.64748,1.0866,0.00134412,0.00134412,0.00134412
8,169.589,1.04985,0.77727,1.1419,0.8921,0.75525,0.82278,0.47034,1.30654,0.67603,1.22526,0.00132997,0.00132997,0.00132997
9,190.203,1.04234,0.75823,1.14201,0.87051,0.76598,0.83638,0.51527,1.21146,0.69402,1.21996,0.00131582,0.00131582,0.00131582
10,210.444,1.00681,0.74052,1.12793,0.89389,0.77695,0.85232,0.58269,0.88682,0.59118,1.03804,0.00130168,0.00130168,0.00130168
11,230.612,0.98381,0.7142,1.10977,0.85926,0.75399,0.81806,0.54163,1.03342,0.61375,1.09871,0.00128753,0.00128753,0.00128753
12,250.967,1.00771,0.72037,1.11436,0.87708,0.74309,0.80601,0.51028,1.15028,0.72658,1.15997,0.00127338,0.00127338,0.00127338
13,271.484,0.98673,0.70721,1.11555,0.88197,0.78667,0.85624,0.59214,0.90778,0.5871,1.06193,0.00125923,0.00125923,0.00125923
14,292.004,0.9689,0.6829,1.1088,0.90031,0.72807,0.81414,0.53362,1.01582,0.63747,1.10288,0.00124509,0.00124509,0.00124509
15,313.107,0.96126,0.67628,1.1039,0.80114,0.58018,0.6817,0.44283,1.15519,1.01986,1.20291,0.00123094,0.00123094,0.00123094
16,333.548,0.97018,0.66639,1.1023,0.83511,0.7641,0.82492,0.54728,1.02082,0.69433,1.10721,0.00121679,0.00121679,0.00121679
