epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1463.98,0.82691,0.63017,1.06501,0.94878,0.88215,0.95535,0.75762,0.65789,0.43497,0.96207,0.0007294,0.0007294,0.0007294
43,1500.8,0.8251,0.62621,1.06783,0.93131,0.90266,0.95581,0.73993,0.73507,0.43935,0.98722,0.0007228,0.0007228,0.0007228
44,1536.56,0.83155,0.63959,1.07156,0.92774,0.90176,0.95449,0.74176,0.68623,0.44103,0.97097,0.0007162,0.0007162,0.0007162
45,1573.22,0.82057,0.62982,1.06421,0.93383,0.89903,0.95584,0.74213,0.69435,0.43283,0.96971,0.0007096,0.0007096,0.0007096
46,1609.66,0.81752,0.62537,1.06769,0.93161,0.88655,0.95548,0.75298,0.67548,0.43974,0.96498,0.000703,0.000703,0.000703
47,1645.79,0.80757,0.61427,1.05202,0.93032,0.89849,0.95884,0.74795,0.69333,0.43975,0.96615,0.0006964,0.0006964,0.0006964
48,1682.44,0.8311,0.63093,1.07086,0.94614,0.88601,0.95314,0.75986,0.66136,0.43842,0.95753,0.0006898,0.0006898,0.0006898
49,1718.52,0.80213,0.60911,1.05578,0.93522,0.90809,0.95912,0.72424,0.75554,0.44317,1.01461,0.0006832,0.0006832,0.0006832
50,1754.94,0.79901,0.60708,1.05513,0.9267,0.90377,0.95397,0.75462,0.65226,0.43613,0.95432,0.0006766,0.0006766,0.0006766
51,1791.7,0.79766,0.60733,1.06214,0.93791,0.88216,0.95815,0.75592,0.68906,0.44099,0.97329,0.00067,0.00067,0.00067
52,1828.45,0.78934,0.60088,1.05582,0.91909,0.89491,0.9544,0.75846,0.6528,0.42422,0.95208,0.0006634,0.0006634,0.0006634
53,1863.96,0.79476,0.59352,1.05256,0.94983,0.88567,0.9551,0.76132,0.63592,0.41538,0.9529,0.0006568,0.0006568,0.0006568
54,1899.87,0.78834,0.59602,1.04859,0.93855,0.86398,0.95355,0.76506,0.64778,0.42464,0.95245,0.0006502,0.0006502,0.0006502
55,1936.43,0.77846,0.60327,1.0449,0.93369,0.91922,0.95924,0.74969,0.66072,0.41867,0.95615,0.0006436,0.0006436,0.0006436
56,1972.48,0.78601,0.60109,1.04459,0.94292,0.90369,0.95705,0.7584,0.69028,0.42758,0.9721,0.000637,0.000637,0.000637
57,2009.32,0.77415,0.58919,1.04214,0.93768,0.89826,0.95804,0.75399,0.66135,0.40773,0.96209,0.0006304,0.0006304,0.0006304
58,2046.56,0.77043,0.59538,1.03469,0.93359,0.88667,0.95534,0.76707,0.64084,0.42119,0.94982,0.0006238,0.0006238,0.0006238
59,2083.19,0.77555,0.58389,1.03579,0.94386,0.90056,0.95919,0.76486,0.63323,0.40094,0.94594,0.0006172,0.0006172,0.0006172
60,2120.52,0.78043,0.59433,1.05307,0.93569,0.89421,0.95534,0.77404,0.62277,0.41128,0.94528,0.0006106,0.0006106,0.0006106
61,2157.19,0.78152,0.58816,1.0559,0.94385,0.88837,0.95985,0.75527,0.67667,0.41827,0.95743,0.000604,0.000604,0.000604
62,2193.79,0.77823,0.58204,1.0439,0.94467,0.88012,0.95633,0.77638,0.62643,0.41767,0.93905,0.0005974,0.0005974,0.0005974
63,2230.6,0.7497,0.56773,1.02884,0.93877,0.87854,0.95979,0.76369,0.63541,0.40522,0.94462,0.0005908,0.0005908,0.0005908
64,2267.49,0.76433,0.57102,1.03721,0.93261,0.91428,0.9615,0.7842,0.61109,0.39889,0.93731,0.0005842,0.0005842,0.0005842
65,2304.5,0.74869,0.56633,1.02943,0.94345,0.9052,0.96204,0.77445,0.62144,0.40261,0.94078,0.0005776,0.0005776,0.0005776
66,2341.01,0.75945,0.57704,1.03583,0.95726,0.87994,0.96047,0.76915,0.65484,0.40313,0.9508,0.000571,0.000571,0.000571
67,2377.85,0.75235,0.55478,1.03308,0.94299,0.90765,0.9631,0.78032,0.62187,0.39244,0.94236,0.0005644,0.0005644,0.0005644
68,2414.52,0.74623,0.55983,1.02988,0.95155,0.90566,0.96202,0.78052,0.61443,0.39566,0.9368,0.0005578,0.0005578,0.0005578
69,2451.24,0.75488,0.57026,1.02738,0.9491,0.88727,0.96262,0.78033,0.60992,0.3963,0.93293,0.0005512,0.0005512,0.0005512
70,2487.73,0.73491,0.55971,1.02175,0.95544,0.89626,0.96193,0.78003,0.60346,0.38863,0.93635,0.0005446,0.0005446,0.0005446
71,2523.91,0.74138,0.54969,1.02356,0.95091,0.89541,0.96423,0.7879,0.60952,0.38538,0.93602,0.000538,0.000538,0.000538
72,2559.73,0.74047,0.55809,1.02674,0.93172,0.89307,0.95978,0.77067,0.62203,0.38997,0.93862,0.0005314,0.0005314,0.0005314
73,2596.43,0.73115,0.55611,1.01544,0.94894,0.89387,0.96175,0.78846,0.6017,0.38719,0.93056,0.0005248,0.0005248,0.0005248
74,2632.43,0.7404,0.55979,1.02831,0.94877,0.8995,0.9586,0.78059,0.59511,0.38646,0.92964,0.0005182,0.0005182,0.0005182
75,2668.16,0.73277,0.54474,1.01949,0.92867,0.91657,0.96205,0.78293,0.61927,0.37636,0.93692,0.0005116,0.0005116,0.0005116
76,2705.18,0.72813,0.53112,1.01288,0.95041,0.89448,0.96201,0.79029,0.5969,0.38313,0.9255,0.000505,0.000505,0.000505
77,2741.94,0.73216,0.5379,1.02735,0.95501,0.89637,0.96154,0.78867,0.59618,0.37963,0.92655,0.0004984,0.0004984,0.0004984
